label,threshold,sensitivity_val,specificity_val,f1_val,support_val,tp,fp,tn,fn
QC_REQUIERE_FROTIS,0.5224204063415527,0.7692307692307693,0.957983193277311,0.8333333333333334,130,100,10,228,30
PATRON_INFLAMATORIO,0.5189647674560547,0.9771428571428571,0.9792746113989638,0.9771428571428571,175,171,4,189,4
PATRON_LEUCOGRAMA_ESTRES,0.5609767436981201,0.9221556886227545,0.9601990049751243,0.9361702127659575,167,154,8,193,13
PATRON_ANEMIA_NO_REGENERATIVA,0.3750866651535034,0.8723404255319149,0.940809968847352,0.7663551401869159,47,41,19,302,6
PATRON_HEMOLISIS_MCHC,0.7073880434036255,0.95,0.9930555555555556,0.9620253164556962,80,76,2,286,4
PATRON_POLICITEMIA,0.9956258535385132,1.0,1.0,1.0,27,27,0,341,0
