label,n_pos,threshold,TP,FP,FN,TN,recall,precision,specificity,NPV,F1,ROC_AUC,PR_AUC
QC_REQUIERE_FROTIS,136,0.3,93,26,43,207,0.6838,0.7815,0.8884,0.828,0.7294,0.8563,0.8455
PATRON_INFLAMATORIO,198,0.641,197,4,1,167,0.9949,0.9801,0.9766,0.994,0.9875,0.9946,0.9931
PATRON_LEUCOGRAMA_ESTRES,172,0.3,171,11,1,186,0.9942,0.9396,0.9442,0.9947,0.9661,0.9891,0.9833
PATRON_ANEMIA_NO_REGENERATIVA,42,0.4557,42,1,0,326,1.0,0.9767,0.9969,1.0,0.9882,0.9978,0.9721
PATRON_HEMOLISIS_MCHC,48,0.7143,45,3,3,318,0.9375,0.9375,0.9907,0.9907,0.9375,0.9983,0.9875
PATRON_POLICITEMIA,32,0.9,32,0,0,337,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PATRON_ANEMIA_REGENERATIVA,6,0.4789,5,9,1,354,0.8333,0.3571,0.9752,0.9972,0.5,0.9945,0.8889
