version,split,label,cat,n_pos,n_neg,thr,prauc,f1,prec,rec,spec,tp,fp,fn,tn
v3c,test,PATRON_INFLAMATORIO,Patron Clinico,198,171,0.5467,0.9936,0.9875,0.9801,0.9949,0.9766,197,4,1,167
v3c,test,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,172,197,0.9,0.9861,0.9273,0.9684,0.8895,0.9746,153,5,19,192
v3c,test,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,42,327,0.7931,0.9853,0.9882,0.9767,1.0,0.9969,42,1,0,326
v3c,test,PATRON_HEMOLISIS_MCHC,Patron Clinico,48,321,0.7721,0.9924,0.9362,0.9565,0.9167,0.9938,44,2,4,319
v3c,test,PATRON_POLICITEMIA,Patron Clinico,32,337,0.988,1.0,1.0,1.0,1.0,1.0,32,0,0,337
v3c,test,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,6,363,0.3795,0.886,0.5,0.3571,0.8333,0.9752,5,9,1,354
v4,test,QC_REQUIERE_FROTIS,QC Maquina,136,233,0.28,0.8455,0.7231,0.7581,0.6912,0.8712,94,30,42,203
v4,test,PATRON_INFLAMATORIO,Patron Clinico,198,171,0.43,0.9931,0.9825,0.9704,0.9949,0.9649,197,6,1,165
v4,test,PATRON_LEUCOGRAMA_ESTRES,Patron Clinico,172,197,0.63,0.9833,0.9653,0.9598,0.9709,0.9645,167,7,5,190
v4,test,PATRON_ANEMIA_NO_REGENERATIVA,Patron Clinico,42,327,0.41,0.9721,0.9882,0.9767,1.0,0.9969,42,1,0,326
v4,test,PATRON_HEMOLISIS_MCHC,Patron Clinico,48,321,0.46,0.9875,0.9592,0.94,0.9792,0.9907,47,3,1,318
v4,test,PATRON_POLICITEMIA,Patron Clinico,32,337,0.9,1.0,1.0,1.0,1.0,1.0,32,0,0,337
v4,test,PATRON_ANEMIA_REGENERATIVA,Patron Clinico,6,363,0.415,0.8889,0.5,0.3571,0.8333,0.9752,5,9,1,354
