,idexx_rate,dap_rate,ratio,diagnosis
QC_REQUIERE_FROTIS,0.3685636856368564,0.2851652574942352,0.7737204412895058,aprox comparable
PATRON_INFLAMATORIO,0.5365853658536586,0.017678708685626442,0.03294668436866746,OK esperado (DAP sano)
PATRON_LEUCOGRAMA_ESTRES,0.46612466124661245,0.191391237509608,0.4106009688432869,aprox comparable
PATRON_ANEMIA_NO_REGENERATIVA,0.11382113821138211,0.006149116064565719,0.05402437685297024,OK esperado (DAP sano)
PATRON_HEMOLISIS_MCHC,0.13008130081300814,0.018447348193697154,0.14181398923904687,OK esperado (DAP sano)
PATRON_POLICITEMIA,0.08672086720867209,0.021521906225980016,0.24817448116833207,OK esperado (DAP sano)
PATRON_ANEMIA_REGENERATIVA,0,0.0007686395080707148,inf,WARNING ALTO -- posible sobreprediccion
