etiqueta,positivos_clinica,positivos_modelo,tp,tn,fp,fn,precision,sensibilidad,especificidad,f1
QC_REQUIERE_FROTIS,54,39,30,53,9,24,0.7692,0.5556,0.8548,0.6452
PATRON_INFLAMATORIO,40,51,37,62,14,3,0.7255,0.925,0.8158,0.8132
PATRON_LEUCOGRAMA_ESTRES,9,44,9,72,35,0,0.2045,1.0,0.6729,0.3396
PATRON_ANEMIA_NO_REGENERATIVA,19,13,13,97,0,6,1.0,0.6842,1.0,0.8125
PATRON_HEMOLISIS_MCHC,7,10,1,100,9,6,0.1,0.1429,0.9174,0.1176
PATRON_POLICITEMIA,34,8,8,82,0,26,1.0,0.2353,1.0,0.381
PATRON_ANEMIA_REGENERATIVA,8,5,5,108,0,3,1.0,0.625,1.0,0.7692
QC_AGREGADOS_PLAQUETARIOS,8,8,8,108,0,0,1.0,1.0,1.0,1.0
