label,fold,n_val,n_pos,pr_auc,roc_auc,f1_0_5,precision_0_5,recall_0_5
QC_REQUIERE_FROTIS,1,417,147,0.9057490138629732,0.9204837490551776,0.8195488721804511,0.9159663865546218,0.7414965986394558
QC_REQUIERE_FROTIS,2,417,146,0.9530571463941365,0.9649699236718395,0.855072463768116,0.9076923076923077,0.8082191780821918
QC_REQUIERE_FROTIS,3,417,146,0.8844400838046491,0.8980437749582976,0.7878787878787878,0.8813559322033898,0.7123287671232876
QC_REQUIERE_FROTIS,4,417,146,0.9014531692660795,0.9176565738260122,0.7905138339920948,0.9345794392523364,0.684931506849315
QC_REQUIERE_FROTIS,5,417,146,0.8720168984605702,0.8877571652428853,0.7662835249042146,0.8695652173913043,0.684931506849315
QC_REQUIERE_FROTIS,6,417,147,0.8982784643684446,0.9063744016124968,0.7984790874524715,0.9051724137931034,0.7142857142857143
QC_REQUIERE_FROTIS,7,417,146,0.902168914773229,0.9167214274882475,0.7954545454545454,0.8898305084745762,0.7191780821917808
QC_REQUIERE_FROTIS,8,417,146,0.9200715623959401,0.929611282414194,0.8345864661654135,0.925,0.7602739726027398
QC_REQUIERE_FROTIS,9,417,146,0.8916532292232606,0.9099226608704444,0.7832699619771863,0.8803418803418803,0.7054794520547946
QC_REQUIERE_FROTIS,10,417,146,0.8973355136594539,0.9233685487539807,0.7910447761194029,0.8688524590163934,0.726027397260274
PATRON_INFLAMATORIO,1,417,189,0.9886268320239038,0.9940592221293976,0.9765013054830287,0.9639175257731959,0.9894179894179894
PATRON_INFLAMATORIO,2,417,189,0.9914169785651702,0.9923187598626195,0.9738219895287958,0.9637305699481865,0.9841269841269841
PATRON_INFLAMATORIO,3,417,189,0.9837830107337264,0.9896500510535599,0.9767441860465116,0.9545454545454546,1.0
PATRON_INFLAMATORIO,4,417,189,0.9922476698994741,0.9921099043906061,0.9788359788359788,0.9788359788359788,0.9788359788359788
PATRON_INFLAMATORIO,5,417,189,0.987311337688509,0.9915993687923512,0.9715762273901809,0.9494949494949495,0.9947089947089947
PATRON_INFLAMATORIO,6,417,189,0.9786360368737426,0.9861691265200037,0.9637305699481865,0.9441624365482234,0.9841269841269841
PATRON_INFLAMATORIO,7,417,189,0.9667875116176203,0.9834307992202729,0.9509043927648578,0.9292929292929293,0.9735449735449735
PATRON_INFLAMATORIO,8,417,189,0.996142075443028,0.9957764782326186,0.9868073878627969,0.9842105263157894,0.9894179894179894
PATRON_INFLAMATORIO,9,417,189,0.9913236664494474,0.9935486865311427,0.9736842105263158,0.9685863874345549,0.9788359788359788
PATRON_INFLAMATORIO,10,417,189,0.9980661763754517,0.9983291562238932,0.9842105263157894,0.9790575916230366,0.9894179894179894
PATRON_LEUCOGRAMA_ESTRES,1,417,187,0.9837107812683961,0.9878167867937688,0.9396325459317585,0.9226804123711341,0.9572192513368984
PATRON_LEUCOGRAMA_ESTRES,2,417,187,0.9860688972304648,0.9870030225528947,0.9655172413793104,0.9578947368421052,0.9732620320855615
PATRON_LEUCOGRAMA_ESTRES,3,417,187,0.9884709632490317,0.9901650778888631,0.9448818897637795,0.9278350515463918,0.9625668449197861
PATRON_LEUCOGRAMA_ESTRES,4,417,187,0.9780942118108359,0.9814926761218321,0.9319371727748691,0.9128205128205128,0.9518716577540107
PATRON_LEUCOGRAMA_ESTRES,5,417,188,0.9893342535043783,0.989733345721453,0.9518716577540107,0.956989247311828,0.9468085106382979
PATRON_LEUCOGRAMA_ESTRES,6,417,187,0.9884393624304767,0.9890723087654033,0.9523809523809523,0.9424083769633508,0.9625668449197861
PATRON_LEUCOGRAMA_ESTRES,7,417,187,0.9842105923145871,0.9892118112066961,0.9682539682539683,0.9581151832460733,0.9786096256684492
PATRON_LEUCOGRAMA_ESTRES,8,417,187,0.981329053573122,0.9847942338990932,0.9414893617021277,0.9365079365079365,0.946524064171123
PATRON_LEUCOGRAMA_ESTRES,9,417,187,0.9846279197879573,0.9869565217391305,0.9553805774278216,0.9381443298969072,0.9732620320855615
PATRON_LEUCOGRAMA_ESTRES,10,417,188,0.9866661410090923,0.9871550682895104,0.9427083333333334,0.923469387755102,0.9627659574468085
PATRON_ANEMIA_NO_REGENERATIVA,1,417,42,0.6869892218838156,0.9655873015873017,0.7111111111111111,0.6666666666666666,0.7619047619047619
PATRON_ANEMIA_NO_REGENERATIVA,2,417,42,0.8290421385185304,0.9816507936507937,0.7804878048780488,0.8,0.7619047619047619
PATRON_ANEMIA_NO_REGENERATIVA,3,417,42,0.8968027584883393,0.986984126984127,0.7951807228915663,0.8048780487804879,0.7857142857142857
PATRON_ANEMIA_NO_REGENERATIVA,4,417,42,0.8136838975769782,0.9756190476190477,0.7058823529411765,0.6976744186046512,0.7142857142857143
PATRON_ANEMIA_NO_REGENERATIVA,5,417,42,0.8038321943650634,0.9779682539682539,0.7294117647058823,0.7209302325581395,0.7380952380952381
PATRON_ANEMIA_NO_REGENERATIVA,6,417,42,0.7508379593845727,0.9686984126984127,0.6341463414634146,0.65,0.6190476190476191
PATRON_ANEMIA_NO_REGENERATIVA,7,417,42,0.7719280508408376,0.9733968253968255,0.7341772151898734,0.7837837837837838,0.6904761904761905
PATRON_ANEMIA_NO_REGENERATIVA,8,417,42,0.8385347531095758,0.9819682539682539,0.7529411764705882,0.7441860465116279,0.7619047619047619
PATRON_ANEMIA_NO_REGENERATIVA,9,417,42,0.8536080131412527,0.9822857142857143,0.7317073170731707,0.75,0.7142857142857143
PATRON_ANEMIA_NO_REGENERATIVA,10,417,42,0.7350442051464238,0.9712380952380952,0.74,0.6379310344827587,0.8809523809523809
PATRON_HEMOLISIS_MCHC,1,417,59,0.9796652364561508,0.9895843196666982,0.9655172413793104,0.9824561403508771,0.9491525423728814
PATRON_HEMOLISIS_MCHC,2,417,59,0.9962087421944691,0.9991951519742449,0.9830508474576272,0.9830508474576272,0.9830508474576272
PATRON_HEMOLISIS_MCHC,3,417,59,0.9571806195908426,0.976470031247041,0.9473684210526315,0.9818181818181818,0.9152542372881356
PATRON_HEMOLISIS_MCHC,4,417,60,0.9836963064345872,0.9966853408029879,0.9333333333333333,0.9333333333333333,0.9333333333333333
PATRON_HEMOLISIS_MCHC,5,417,60,0.9881681983006929,0.9980392156862744,0.9230769230769231,0.9473684210526315,0.9
PATRON_HEMOLISIS_MCHC,6,417,59,0.9859825458619839,0.9944607518227442,0.9739130434782609,1.0,0.9491525423728814
PATRON_HEMOLISIS_MCHC,7,417,59,0.9585482890703099,0.9952182558469842,0.9421487603305785,0.9193548387096774,0.9661016949152542
PATRON_HEMOLISIS_MCHC,8,417,59,0.9918860289826148,0.9985796799545497,0.9401709401709402,0.9482758620689655,0.9322033898305084
PATRON_HEMOLISIS_MCHC,9,417,60,0.990067331445223,0.9966853408029879,0.9661016949152542,0.9827586206896551,0.95
PATRON_HEMOLISIS_MCHC,10,417,60,0.9598908730537686,0.9770774976657328,0.9565217391304348,1.0,0.9166666666666666
PATRON_POLICITEMIA,1,417,27,0.9999999999999998,1.0,1.0,1.0,1.0
